name,C2A1,C3A1,C4A1,C5A1,C6A1,C9A1,C10A1,C1A1,C7A1,C8A1,C11A1,C12A1,C13A1,C14A1,GeneName,Biotype
ABCA13,0,0.008522989,0.006309857,0.009138196,0,0.014122201,0.021453601,0.005788502,0.045139425,0,0.011429287,0.006088621,0.008126905,0.006124849,ABCA13,protein_coding
ABCA2,10.44226525,4.8579918,7.597269197,5.417714217,6.178940128,8.922725245,9.591900295,3.649360478,4.312031975,8.571880175,8.102089951,5.563837946,5.057204374,5.903214075,ABCA2,protein_coding
ABCA3,73.268823,54.66804089,89.22147205,86.40391432,78.64288786,61.15458842,86.21822052,56.75220469,51.95872226,90.28395441,61.42302961,75.90898622,100.0564048,50.42229649,ABCA3,protein_coding
ABCA4,0.24157802,0.392278162,0.227865486,0.323533527,0.381081863,0.34199308,0.084636092,0.559483994,0.335609434,0.219636454,0.24885886,0.265144669,0.333765953,0.409841609,ABCA4,protein_coding
ABCA5,2.2982638,2.006865212,1.899039886,1.538028614,1.928770138,2.711745052,2.225943785,1.389385214,1.79640886,2.500282352,2.807278085,1.673441001,1.320654453,2.666015263,ABCA5,protein_coding
ABCA7,1.697463367,1.169020739,1.255773622,0.966676821,0.817082481,0.903939644,1.541359231,0.848443217,0.528954024,0.957797318,0.499496692,0.908807769,0.910697327,0.700074781,ABCA7,protein_coding
ABCA8,25.41022445,8.538264751,3.299468617,1.554755407,2.912409565,5.907678175,5.546218321,9.22517224,9.344818276,3.454685944,4.742408425,3.194648813,3.7033057,5.093756318,ABCA8,protein_coding
ABCA9,22.69233739,15.29322572,13.22995881,16.82743257,47.4582648,17.01011455,23.33414892,38.08897605,14.99495448,23.40411551,33.54525807,13.8525658,22.35716722,18.20428906,ABCA9,protein_coding
ABCB1,2.420842527,4.230198076,2.606126884,2.93556704,2.602303282,3.106609377,3.384741145,1.273357797,7.039636266,3.528595909,2.112287586,2.01817869,1.191840714,2.419726427,ABCB1,protein_coding
ABCB10,2.793545148,2.887108697,3.043352406,1.920170379,3.355840345,2.648517836,1.97323271,1.928354525,2.885992075,2.867121454,2.640891898,2.75908173,2.971714314,2.727408328,ABCB10,protein_coding
ABCB11,0.733964618,0.454912072,2.072269789,0.856048452,0.586231143,0.572248626,0.520794276,0.879589082,0.505743052,1.023007992,0.756318766,0.278552898,0.90295232,0.850638491,ABCB11,protein_coding
ABCB1LA,0.386858691,0.676509276,0.442709177,0.401528092,0.356803858,0.456384632,0.430062074,0.209218531,0.274203523,0.403014633,0.242998839,0.36246162,0.32253513,0.14324291,ABCB1LA,protein_coding
ABCB5,0.022506817,0.022490412,0,0,0,0.044718693,0.036393193,0,0.012762176,0.022736236,0.045239302,0.012049962,0.021445229,0.012121661,ABCB5,protein_coding
ABCB6,3.849903791,2.834703633,3.979896214,3.212993544,3.897510049,2.596755272,3.997258094,2.64031105,2.573682401,4.011962292,2.565893608,3.449808725,3.687620799,2.466339115,ABCB6,protein_coding
